program,Author(s),Author(s) Full Name,Year,Title,Place of Publication,Call No.,Book ID (Accession No.),Description,ISBN,Images
Business Administration,"Saycip, J. D. C.",James DC Saycip,2021,Applied business tools and technologies,Manila : EDRIC Publishing House,FIL 651.7 S274a 2021,T44416,Provides business tools and technologies application to business management to improve business performance and to be more competitive.,	978-6-218-17924-0,
Business Administration,"Yeung, M. A.",Mylene A. Yeung,2022,Multicultural diversity in workplace,Manila : EDRIC Publishing House,FIL 658.30008 Y47m 2022,T44432,Explains the different aspects and benefits of diversity in workplace in business.,	978-6-218-17911-0,
Accountancy AIS,"Banggawan, R. B.",Rex B. Banggawan,2023,"Income taxation : laws, principles and applications : an integrated principle-based approach : a guide to understanding and mastering income tax principles and applications",Manila : Real Excellence Publishing,FIL 336.24 B216i 2023,T44868,Provides readers with a thorough understanding and mastery of income taxation by teaching taxation as a whole body of interconnected concepts.,	978-9-71959400-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/9789719594000.gif
Accountancy AIS,"Cabulay, D. A.",Danny A. Cabulay,2022,Accountancy research. First edition,Manila : Rex Book Store,FIL 657.072 C117a 2022,T44824,"Provides a comprehensive guide on the research process, the diversity of styles and techniques, practical applications, writing and presentation tips, exercises, case studies, and even sample formats. It primarily aims to solve problems in organizations, industry, public sector, and society.",978-6-210-44306-6,
Accountancy AIS,"Cabulay, D. A.",Danny A. Cabulay,2022,Accounting research methods. First edition,Manila : Rex Book Store,FIL 657.072 C117a 2022,T44833,"Provides a detailed walk-through of the entire research process, with an emphasis on acceptable format in the academe. It has guide questions which teachers may utilize for discussion and recitation purposes.","  978-6-210-44125-3
",
Accountancy AIS,"Domingo, A. D.",Andrix Dang-owan Domingo,2019,Regulatory framework for business transactions : MCQ CPA reviewer. 2019 edition,"Itogon, Benguet : Coaching for Results Publishing",FIL 346.59907 D671r 2019,T44865,Provides students specially accountancy students and CPA board examination candidates the necessary information and reviewer that will help in their quest to pass the board examination.,	978-6-219-52427-8,
Accountancy AIS,"Drury, C.",Colin Drury,2022,Cost accounting and control. Philippine edition,"Taguig City, Philippines : Cengage Learning Asia Pte Ltd",FIL 657.42 D796c 2022,T44129,"Provides specific information on how accounting systems can help the organization through data for planning, control and decision making.",	978-9-81498670-0,
Accountancy AIS,"Sacdalan-Casasola, E. M.",Eufrocina M. Sacdalan-Casasola,2022,"The consolidated NIRC of 1997 : R.A. No. 8424, as last amended by R.A. Nos. 11534, 11590 & 11635 (with consolidated revenue regulations). 2022 edition",Manila : Rex Book Store,FIL 336.24 S119c 2022,T40173,"Rationalizes the fiscal incentives given to corporations but likewise lowered the corporate income tax rates of all corporations, whether small, medium or big corporations, and whether domestic or foreign corporations, in order to attract more investments and maintain fiscal prudence and stability in our country.",	978-6-210-43448-4,
Accountancy AIS,"Villaceran, E. V.",Eugenio V. Villaceran,2022,Conceptual framework and accounting standards. First edition,"Manila, Philippines : Rex Book Store",FIL 657.0218 V172c 2022,T44859,"Aims to equip the learners with a thorough understanding of the Conceptual Framework of Financial Reporting issued by the International Accounting Standards Board, which provides the theoretical anchor of the International Financial Reporting Standards (IFRSs) on which the Philippine Financial Reporting Standards (PFRSs) are based on. It also covers topics on the standard that have been issued to date to give an in-depth knowledge about the objective, scope, classification, recognition, measurement, presentation, and disclosure requirements for business transactions and accounts.",	978-6-214-16066-2,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786214160662.gif
Accountancy AIS,Bangko Sentral ng Pilipinas,,2023,Banking laws of the Philippines annotated,Manila : Rex Book Store,FIL 346.599082 B216b 2023,T45165,"Provides an authoritative and comprehensive legal handbook on central banking. This book is a consolidation of the three (3)-volume series appearing in a topical format where relevant and related provisions of laws, Bangko Sentral issuances and regulations, jurisprudence, and opinions issued by the general counsel are discussed together.",	978-6-210-45034-7,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786210450347.gif
