program,Author(s),Author(s) Full Name,Year,Title,Place of Publication,Call No.,Book ID (Accession No.),Description,ISBN,Images
ABCOMMUNICATION,"Chatterjee, A.",Dr. Asim Chatterjee,2023.0,Purposive communication. First edition.,New Delhi : Venus Books.,808 C495p 2023,"T44966
",Develops your communicative competence and enhances your cultural and intercultural awareness through multimodal tasks. This book was also designed to address the learning needs of students and communicators in today's digital environment.,,
ABCOMMUNICATION,"Florentino-Hofileña, C.",Chay Florentino- Hofileña,1998.0,News for sale : the corruption of the Philippine media.,Manila : Philippine Center for Investigative Journalism.,FIL 302.23 F633n 1998,T44307,"Looks at the history of media corruption in the Philippines, probes corrupt practices in the 1990s and discovers how a free press can be bought.",9-71868620-7,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1627108806i/9146577.jpg
ABCOMMUNICATION,"Baran, S. J.","Baran, Stanley J",2021.0,Introduction to mass communication : media literacy and culture. Eleventh edition.,"New York, NY : McGraw-Hill Education",302.23 B225i 2021,T44731,"Offers full-semester access to comprehensive, reliable content and learning resources for the Communication course. Connect's deep integration with most learning management systems (LMSs), including Blackboard and Desire2Learn (D2L), offers single sign-on and deep gradebook synchronization. Data from Assignment Results reports synchronize directly with many LMSs, allowing scores to flow automatically from Connect into school-specific gradebooks, if required.
",0-07-352615-0,https://dlm.dlsl.edu.ph/passthrough?image=10108/0073526150.gif
ABCOMMUNICATION,"Blanco, F. B., Diones, L. L., Escalada-Cordova, M. & Mananay, 	J. A. ","Felimon Bonita Blanco,
Lito L. Diones,
Monique Escalada-Cordova,
Janet A. Mananay,",2022.0,Speech and theater arts.,Quezon City : 	Lorimar Publishing Inc.,FIL 808.5 B641s 2022,T44653,"Provides a guide for speech and theater arts students to help develop the skills and techniques that will enable them to become more confident speakers and theater artists.
",978-6-214-51029-0,https://i1.rgstatic.net/publication/384265499_Speech_and_Theater_Arts/links/66f2099b19c9496b1fb9b00f/largepreview.png
ABCOMMUNICATION,"Ryan, M. & Lenos, M.","Michael Ryan, Melissa Lenos",2020.0,An introduction to film analysis :         techniques and meaning in narrative film. 2nd edition.,New York : Bloomsbury Academic.,791.4309 R988i 2020,T44727,Provides students with instruction in how to analyze film images for the meanings they contain.,978-1-50131854-2,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQFMXSV0QqgSIpBIq-VFKV5nUVli5_sj0NeDEnGwwablQboKrIW
ABCOMMUNICATION,"Cover, R.",Rob Cover,2023.0,"Identity and digital communication : concepts,         theories, practices.","Oxon, OX : Routledge.",302.30285 C873i 2023,T45194,"Explores the relationship between identity, subjectivity and digital communication, providing a strong starting point for understanding how fast-charging communication technologies, platforms, applications, and practices have an impact on how we perceive ourselves, others, relationships and bodies. It also demonstrates how identity is shaped and understood in the context of significant and ongoing shifts in online communication.
",978-1-03228395-1,https://imgur.com/a/latebjW
ABCOMMUNICATION,"Richards, A.",Alex Richards,2023.0,Foundations of data and digital journalism.,New York : Routledge.,070.40285 R514f 2023,"T45196
","Recognizes a growing need for general data knowledge in newsrooms across the globe, including an understanding of what's possible for both data reporting and presentation and how it can be achieved. It also serves as a roadmap for students and working journalists who seek to understand what data is and how to find it; how to harness it most effectively for news; how to think critically about analysis results, potential shortcomings in the data, and the inclusion of appropriate context; and how to present compelling, data-driven stories online.
",978-1-03201774-7,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQIwKyq5wlLUMPq-BzhYaBiBfvSjYHIfYZ5Y6ufE8L-b2gC832r
ABCOMMUNICATION,"Lantican, A. L.",Apolinario J. Lantican,2021.0,Guidebook for writers and editors.,"Los 	Baños, Laguna : DevWrite Publishing.",FIL 808.027 L296g 2021,T46223,"Equips the readers with working knowledge about the different aspects of writing. Basic guidelines in simple letter writing, making minutes of meeting, writing research report, and of course, news and feature writing as well as depth reporting in the field of development journalism are thoroughly discussed.",978-6-219-64880-6,https://imgur.com/a/5m2t2Y5
ABCOMMUNICATION,"Tiongson, N. G.",Nicanor G. Tiongson,2024.0,Philippine theater history and genres :         collected essays I.,Quezon City : Ateneo De Manila         University Press.,FIL 792.09599 T594p 2024 v.,"T46406
","Brings two-part collection of theater essays, putting together the two most important illustrative pieces on the historical development of Philippine theater from its earliest beginnings to 2023 and anthologizes comprehensive essays on the principal genres of Philippine theater.

",978-6-214-48355-6,https://unipress.ateneo.edu/sites/default/files/styles/new_book/public/Collected%20Essays%201%20%28TIONGSON%29_Front%20Cover.jpg?itok=MT4lD8M2
Multimedia Arts,"Alexander, S., Cooper, G., Diller, B., Greenberg, D., Hauck, T., 	LaRose, M., Roharik, M., Schmidt, D. J. & Walsh-Newton, C. ","Simon Alexander, Grier Cooper, Bill Diller, David Greenberg, Tom Hauck, Melissa LaRose, Matthew Roharik, David Schmidt, Christine Walsh-Newton",2010.0,"The daily book of photography : 365 readings that         teach, inspire & entertain."," Irvine, CA : Walter Foster 	Publishing, Inc.",771 Al374d 2010,T44326,"Offers a broad look at life through the camera lens. From brief biographies of world-renowned photographers to techniques in fashion photography and trends, there is something for every reader inside. Packed full of inspiring images and stimulating information, this book is a staple for everyone who loves to point and click. Ten categories of discussion rotate throughout the year: History of Photography, Famous Photographers, Photography 101, Fashion & Beauty, Photojournalism, Nature, Portraits, Social Commentary, Innovations, and Photographic Oddities.",978-1-60058-211-0,https://imgur.com/a/yEfbeed
