program,Author(s),Author(s) Full Name,Year,Title,Place of Publication,Call No.,Book ID (Accession No.),Description,ISBN,Images
HRM,"Baliste, B. D.",Bryan D. Baliste,2021.0,Fundamentals in lodging operations,"Manila : EDRIC Publishing House,",FIL 338.47 B186f 2021,T44439,"Discusses the overview of hotel industry in terms of operation, management and organization as the most important factors in this business.",978-6-218-17949-3,https://library.cvsu.edu.ph/cgi-bin/koha/opac-image.pl?biblionumber=64232
HRM,"De Castro, K. S.",Kyla S. De Castro,2021.0,Supply chain management in the hospitality industry,Manila : EDRIC Publishing House,FIL 658.72 D291s 2021,T44434,"Explains the basics of supply chain management its advantages, strategies and importance in hospitality industry.",978-6-218-17930-1,https://imgs.search.brave.com/57fnMYeXZdjyqkGf8kdajFXkX8YIV0sKkVhGtdmcNPg/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NDFETnlrd2xCNkwu/anBn
HRM,"Mendoza, L. O.",Lolita O. Mendoza,2022.0,Ergonomics and facilities planning for the hospitality industry,Manila : EDRIC Publishing House,FIL 620.82 M539e 2022,T44435,"Provides insights on how ergonomics be of help to hospitality industries planning, safety, security and sustainability.",978-6-218-17925-7,https://library.lyceum.edu.ph/wp-content/uploads/2024/09/Ergonomics-and-Facilities-Planning-for-the-Hospitality-Industry.png
Tourism,"Angeles, M.",Marie Angeles,2021.0,Sustainable tourism.,Manila : EDRIC Publishing House,FIL 338.4791 A581s 2021,T44407,Provides comprehensive historical background and benefits of sustainable tourism as the fast-growing industry in the world.,978-6-218-17947-9,https://imgs.search.brave.com/CM6twCyoeJOUkfAMsJU3cO9gQuSQ6BRQ3c4QEEP9-SY/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tLm1l/ZGlhLWFtYXpvbi5j/b20vaW1hZ2VzL0kv/NDE2OEUwanRmUUwu/anBn
Tourism,"Gatchalian-Badilla, M. C.",Maria Criselda Gatchalian-Badilla,2019.0,"Philippine tourism, geography, and culture.",First edition. Manila : Rex Book Store.,FIL 338.4791 G258p 2019,T44116,"Presents major tourist destination in the Philippines that tackles its accessibility, geographical characteristics, attractions, gastronomy and cultural attributes per region.",978-6-210-40122-6,https://library.cvsu-rosario.edu.ph/cgi-bin/koha/opac-image.pl?biblionumber=1273
Tourism,"Arenas, C. D. G.",Chester Dave G. Arenas,2022.0,Entrepreneurship in tourism and hospitality  industry,Manila : EDRIC Publishing House,FIL 658.023 A681e 2022,T44414,Emphasizes the importance and relevance of the entrepreneurial approach with regards to tourism and hospitality industry.,978-6-218-17907-3,https://dlm.dlsl.edu.ph/passthrough?image=10108/9786218179073.gif
Tourism,"Arenas, C. D. G.",Chester Dave G. Arenas,2022.0,"Introduction to meetings, incentives, conferences  and events management (MICE) as applied to hospitality",Manila : EDRIC Publishing House,FIL 647.94 A681i 2022,T44433,"Examines the principles of conceptualizing, planning, managing and evaluating events, conferences, meetings and other special activities towards business strategies to retain clients.",978-6-218-17923-3,https://library.cvsu.edu.ph/cgi-bin/koha/opac-image.pl?thumbnail=1&imagenumber=1672
Tourism,"Arenas, C. D. G.",Chester Dave G. Arenas,2022.0,Quality service management in tourism and  hospitality,Manila : EDRIC Publishing House,FIL 658.812 A681q 2022,T44411,Discusses quality service in tourism and hospitality industry which plays a significant role in the industry.,978-6-218-17914-1,https://opac.aliac.edu.ph/cgi-bin/koha/opac-image.pl?thumbnail=1&imagenumber=1777
Tourism,"Bascos, M.",Melinda Bascos,2022.0,Legal aspects in tourism and hospitality,Manila : EDRIC  Publishing House,FIL 338.4791 B298l 2022,T44413,Explains some laws and legislation that pertains to tourism and hospitality industry for the guidance of those who work in the betterment of the industry.,978-6-218-17908-0,https://opac.aliac.edu.ph/cgi-bin/koha/opac-image.pl?thumbnail=1&imagenumber=1624
Tourism,"Brion, J., Diño, N. M. Tiongco, Jr. Ramon A.","Juliepear Brion, Nikoliena M. Diño and Ramon A. Tiongco, Jr.",2021.0,Tourism policy planning  and development,Manila : EDRIC  Publishing House,FIL 338.4791 B858t 2021,T44440,"Allows readers to understand the basic principles, policy and planning in gearing towards tourism development.",978-6-218-17950-9,https://titlepeek.follettsoftware.com/v2/images/9780470807767/medium
